"","ID","Symbol","Entrez_Gene_ID","Chromosome","Cytoband","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"15","ILMN_1660114","MMRN1",22915,"4","4q22.1d",-4.1357469879518,7.30716265060241,-29.6096826849198,2.30186583280817e-68,7.12752336325159e-65,145.298055514352
"16","ILMN_1811598","ADH1B",125,"4","4q23b",-4.89354216867468,7.44933734939759,-29.5963247622542,2.45248115724786e-68,7.12752336325159e-65,145.235304928835
"17","ILMN_2257015","AGER",177,"6","6p21.32b",-5.71525301204818,9.46231325301205,-29.4139538050673,5.83784871445796e-68,1.59682332483703e-64,144.376594498156
"18","ILMN_1689518","PECAM1",5175,"17","17q23.3b",-2.50443373493975,10.4778674698795,-29.3775173057891,6.94535554360346e-68,1.79421684876423e-64,144.204582385214
"19","ILMN_1751904","EDNRB",1910,"13","13q22.3b",-3.12730120481928,8.70207228915663,-29.2886616936953,1.0615389731335e-67,2.57979644701703e-64,143.784479492854
"20","ILMN_1687583","CAV1",857,"7","7q31.2b",-4.55573493975902,9.08346987951807,-29.2793996503373,1.10958986968475e-67,2.57979644701703e-64,143.740637994261
"21","ILMN_1728570","TCF21",6943,"6","6q23.2d",-4.83307228915662,8.4834156626506,-29.1317719062514,2.24993686513419e-67,4.98200305851143e-64,143.040539439917
"22","ILMN_1682176","CLEC3B",7123,"3","3p21.31k",-4.66295180722891,9.48192168674699,-28.9473220118583,5.46045808753335e-67,1.15414227759228e-63,142.162345919522
"23","ILMN_2149226","CAV1",857,"7","7q31.2b",-3.66885542168674,11.9113915662651,-28.6922568744906,1.8724935215857e-66,3.67740156047818e-63,140.941551797647
"24","ILMN_1720771","STX11",8676,"6","6q24.2b",-3.47684337349397,8.53668674698795,-28.6894633621912,1.8980137086339e-66,3.67740156047818e-63,140.928140238332
"25","ILMN_1743445","FAM107A",11170,"3","3p14.2d",-5.17653012048192,9.23571084337349,-28.6573626722738,2.21760110641805e-66,4.12473805793757e-63,140.773961601151
"26","ILMN_1800697","LDB2",9079,"4","4p15.32c",-2.93589156626506,10.4513313253012,-28.3343066967378,1.06867875938902e-65,1.91129085813805e-62,139.215725823784
"27","ILMN_1864685","",NA,"","",-3.46760240963855,6.92815060240964,-27.9400471569123,7.40138528524897e-65,1.27468302134843e-61,137.297646038684
"28","ILMN_2107613","RHOJ",57381,"14","14q23.2b",-3.12790361445783,6.47757831325301,-27.8804870149375,9.93006399850702e-65,1.64909991403777e-61,137.006306556318
"29","ILMN_1658494","RGC32",28984,"13","13q14.11b",-2.76948192771083,12.6743313253012,-27.7099657005329,2.30868050120143e-64,3.70184976916782e-61,136.169894969993
"30","ILMN_1737162","LGI3",203190,"8","8p21.3a",-3.55446987951807,5.80756024096386,-27.3809828087869,1.18685742949955e-63,1.8396290157243e-60,134.546530060821
"31","ILMN_1719351","TCF21",6943,"6","6q23.2d",-3.2596265060241,6.42751204819277,-27.3485729117029,1.39553856068139e-63,2.09330784102209e-60,134.385909377354
"32","ILMN_2234187","CDO1",1036,"5","5q22.3b",-3.68796385542168,6.40782530120482,-27.1635953314027,3.52566424855244e-63,5.12323086117776e-60,133.46678219093
"33","ILMN_1672350","JAM2",58494,"21","21q21.3a",-3.04804819277109,7.91121686746988,-27.1204477554837,4.3790229846386e-63,6.17044147835439e-60,133.251800763338
"34","ILMN_1755588","ANKRD47",256949,"19","19p13.2d",-3.095,6.98965662650602,-27.1037918841408,4.76147111197315e-63,6.51201196196327e-60,133.168753863251
"35","ILMN_1656287","SPOCK2",9806,"10","10q22.1e",-3.14254216867469,11.2869698795181,-26.7753025799814,2.49925206173047e-62,3.32043488201334e-59,131.524092555497
"36","ILMN_2066151","TEK",7010,"9","9p21.2a",-3.73238554216867,8.79656626506024,-26.7232227693109,3.25446742569131e-62,4.20368709151794e-59,131.262149981388
"37","ILMN_1653504","EDG1",1901,"1","1p21.2a",-2.86251807228916,7.83192168674699,-26.7034169558771,3.598530309777e-62,4.52247728120623e-59,131.162447994578
"38","ILMN_2329429","GIMAP6",474344,"7","7q36.1c",-2.95740963855423,8.87171686746988,-26.6609639394012,4.46421472442735e-62,5.46278907068083e-59,130.94858088499
"39","ILMN_1751576","TEK",7010,"9","9p21.2a",-3.78873493975903,8.45980120481928,-26.5886136593647,6.44926308228239e-62,7.68950598272132e-59,130.583597012214
"40","ILMN_1714228","SPTBN1",6711,"2","2p16.2a",-3.46256626506024,6.93996987951807,-26.4970556481673,1.02819859008007e-61,1.19528086096808e-58,130.120807480169
"41","ILMN_1719577","C10orf67",256815,"10","10p12.2a",-3.55291566265059,5.68681927710843,-26.3021143857021,2.78495465513713e-61,3.15854613326528e-58,129.132065030126
"42","ILMN_1678215","RHOJ",57381,"14","14q23.2b",-2.64749397590361,7.41225301204819,-26.1971582650264,4.77113836271362e-61,5.28233175871865e-58,128.597810492229
"43","ILMN_1682937","RSPO1",284654,"1","1p34.3c-p34.3b",-2.47848192771084,5.13807228915663,-25.9906415162758,1.38146894431518e-60,1.49391409094549e-57,127.542653648586
"44","ILMN_2341661","ETV4",2118,"17","17q21.31b",4.11206024096385,6.34629518072289,25.9153770258391,2.03782733046861e-60,2.15361297424524e-57,127.156804630239
"45","ILMN_1753830","ETV4",2118,"17","17q21.31b",4.21843373493976,6.70013253012048,25.902761628421,2.17517437813871e-60,2.24768019074334e-57,127.092062767139
"46","ILMN_1796801","ABCA8",10351,"17","17q24.2c",-3.74577108433735,8.24156024096385,-25.8047585774636,3.61272507336222e-60,3.6023692681883e-57,126.588447225492
"47","ILMN_1790859","PLAC9",219348,"10","10q22.3f",-3.77230120481927,9.62024698795181,-25.8032488718147,3.64110442160968e-60,3.6023692681883e-57,126.580679943613
"48","ILMN_1784863","CD36",948,"7","7q21.11c",-4.23040963855421,7.93612048192771,-25.7948483636402,3.80315616674443e-60,3.68430753653367e-57,126.537455057166
"49","ILMN_1671092","SOX17",64321,"8","8q11.23d",-3.21403614457831,6.17229518072289,-25.7502926570788,4.79191241804773e-60,4.54742709059632e-57,126.308047925263
"50","ILMN_2182148","C2orf32",25927,"2","2p14a",-2.91825301204819,6.44821084337349,-25.6862610068157,6.68231883536767e-60,6.21455651689193e-57,125.977934923841
"51","ILMN_1812902","CYYR1",116159,"21","21q21.3a",-2.98539759036144,8.26461445783132,-25.6434632960821,8.34784418895546e-60,7.61126970169469e-57,125.757010602344
"52","ILMN_1659649","SGCG",6445,"13","13q12.12a",-2.96903614457831,5.18975903614458,-25.6342729384145,8.75670805594137e-60,7.80894497901526e-57,125.70953992061
"53","ILMN_1809490","NAP5",344148,"2","",-4.06073493975903,6.29635542168675,-25.6311425651584,8.90051793307115e-60,7.80894497901526e-57,125.693368313515
"54","ILMN_1672403","ADAMTS8",11095,"11","11q24.3c",-3.49016867469879,6.78936144578313,-25.6145050209985,9.70562587377036e-60,8.35762228019114e-57,125.607397910249
