"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"83","SPARCL1",2.62415764903513,11.6980863719482,18.7752589483334,4.23704498518987e-37,9.94684596824394e-35,73.9481387125692
"84","MMP11",-4.50171849337828,7.88279128377267,-18.7561021619387,4.63557869139885e-37,1.0752887000227e-34,73.8587178821632
"85","CCL14",3.65151638837368,9.33052730009268,18.7325569062624,5.17745175499682e-37,1.18685467583662e-34,73.7487476354819
"86","FHL5",1.93126812441931,6.28804896655186,18.7079588672399,5.81175807366097e-37,1.31676867517772e-34,73.6337840156332
"87","TGFBR3",2.54926814278536,9.53613280441507,18.6956593381421,6.15767538795307e-37,1.37910695326742e-34,73.5762706021966
"88","CRYAB",2.74486247015354,9.06161910900145,18.6897562954131,6.33097649781474e-37,1.40180769386273e-34,73.5486606643002
"89","LTC4S",1.56750659630126,6.32146998312365,18.6706621993761,6.92585907107764e-37,1.51629622471852e-34,73.4593222927383
"90","ANXA8",3.19323977090457,7.34664329677325,18.643376240645,7.87489383873297e-37,1.70491451608569e-34,73.3315739555445
"91","CAV2",2.78181251748257,8.92676926887502,18.5632311655972,1.14893112755799e-36,2.44748709432663e-34,72.9557936273371
"92","VWF",2.14474537420312,13.2839404579197,18.5620043938761,1.1556007835671e-36,2.44748709432663e-34,72.9500351728303
"93","SVEP1",2.77348329660292,9.77817488081367,18.5220283022425,1.39562883400749e-36,2.92406750867054e-34,72.7622817507157
"94","OLFML1",2.10240974626143,8.50894713271991,18.4465120265548,1.99452445835612e-36,4.13439458202861e-34,72.4070473698252
"95","HBA1",3.77891016361392,13.0166965972605,18.4430030025571,2.02792845569121e-36,4.15938799569929e-34,72.3905228026629
"96","ACVRL1",2.42995256439412,8.14516846583195,18.420898123647,2.25168541628209e-36,4.57021774336005e-34,72.2863908801328
"97","ADARB1",1.31774459774437,7.38194630042961,18.4136174392229,2.33069339827806e-36,4.68181039849979e-34,72.2520791787363
"98","PLEKHK1",2.46238836064529,6.22088353658195,18.3935879184154,2.56273588496627e-36,5.09539884883344e-34,72.1576508024342
"99","BCHE",2.64065075187482,6.90547432198423,18.3532582868997,3.10288084552851e-36,6.10703366415385e-34,71.9673617412174
"100","ADH1A",4.23660772304507,10.2654549494703,18.2665075857896,4.68529168300496e-36,9.11078951023588e-34,71.5573329768451
"101","TOP2A",-3.61861132068419,7.98017586960993,-18.264841953794,4.72255448054311e-36,9.11078951023588e-34,71.5494508660577
"102","LEPR",1.40480676245148,6.26880168803831,18.2070468442478,6.21794168079963e-36,1.1878097416704e-33,71.2757316657205
"103","MS4A2",2.66061798016658,7.31981741201858,18.1833800603673,6.96020217203509e-36,1.31669455652528e-33,71.1635212122816
"104","ACADL",2.50371251956257,6.54317111944094,18.1651880148809,7.59082144973805e-36,1.42218419180909e-33,71.0772189985786
"105","LAMP3",2.74741653255464,10.3229201134262,18.1565402426907,7.91043760962625e-36,1.4679512078435e-33,71.0361794574904
"106","UBE2O",-1.51153892181194,7.94481101721014,-18.1079112437797,9.97700304851836e-36,1.83398023019227e-33,70.8052229589079
"107","GYPC",1.56059536669037,8.13876196643188,18.1009740437703,1.03131261754366e-35,1.87804919185403e-33,70.7722509569982
"108","EPAS1",2.11082118575982,12.4758953904844,18.0369617563535,1.40055273349925e-35,2.52683055668824e-33,70.4677136470679
"109","NAP5",2.01645563368357,6.13346258400413,18.0202007639586,1.51753119555375e-35,2.71276104085916e-33,70.3878866219275
"110","CFD",2.97590507221592,12.1822177257919,18.0122786990599,1.57619236454274e-35,2.79200983846503e-33,70.3501439166168
"111","SRPX",2.90316682584655,8.93425715895858,17.9643010867452,1.98352714879243e-35,3.48189427875861e-33,70.1213944671045
"112","GRK5",1.99217076721509,8.32629908477731,17.9414004694933,2.21377231873973e-35,3.8513708598789e-33,70.0121039427577
"113","C1orf186",2.39476453422943,6.95338679657681,17.9288319436994,2.35137280028121e-35,4.05455743482119e-33,69.9520935355722
"114","CUGBP2",1.30396768943907,6.76249423562447,17.9218055632513,2.43201281770669e-35,4.1568219081592e-33,69.9185361481751
"115","C1orf162",2.25085001914229,11.1462765782624,17.8786513323251,2.99203912415667e-35,5.06955498558197e-33,69.7122964665231
"116","SLC19A3",2.95822556525647,7.45948751461854,17.6701866164663,8.16910864577146e-35,1.37219898243842e-32,68.712658266028
"117","BAIAP2L1",-1.89595714128506,9.37171935625551,-17.6680258946229,8.25483504852527e-35,1.37474752923517e-32,68.7022679852124
"118","IGSF9",-2.41694215270589,6.36982484929192,-17.5798887973719,1.26432738381824e-34,2.08774737912699e-32,68.2779342572494
"119","TSRC1",1.43801219730603,6.48217466897007,17.4696314893587,2.15812694223066e-34,3.51483718185234e-32,67.7457083111322
